[15:31:09] N2_1.0A {'ccsd_converged': True, 'T1': 0.009, 'D1': 0.0188, 'reference': 'SCI cutoff 0.001', 'KL_bits': 1.1283, 'spearman_topK': 0.5064, 'w_HF': 0.9049, 'H_w_bits': 1.3179, 'log2_sector': 32.0107, 'support': 972196, 'NOON_active': 6, 'seconds': 478.0529}
[16:56:29] N2_2.0A {'ccsd_converged': True, 'T1': 0.0383, 'D1': 0.0747, 'reference': 'SCI cutoff 0.001', 'KL_bits': 3.5173, 'spearman_topK': 0.4749, 'w_HF': 0.3403, 'H_w_bits': 4.7465, 'log2_sector': 32.0107, 'support': 2842596, 'NOON_active': 8, 'seconds': 5120.9493}
[19:57:09] N2_2.5A {'ccsd_converged': False, 'T1': 0.0373, 'D1': 0.0887, 'reference': 'SCI cutoff 0.001', 'KL_bits': 4.2823, 'spearman_topK': 0.4059, 'w_HF': 0.1201, 'H_w_bits': 5.476, 'log2_sector': 32.0107, 'support': 2834172, 'NOON_active': 8, 'seconds': 10839.645}
[20:02:26] C2_1.2425A {'ccsd_converged': True, 'T1': 0.0379, 'D1': 0.0853, 'reference': 'SCI cutoff 0.001', 'KL_bits': 2.0724, 'spearman_topK': 0.3112, 'w_HF': 0.0, 'H_w_bits': 2.8684, 'log2_sector': 27.7357, 'support': 664224, 'NOON_active': 7, 'seconds': 317.0475}
[21:25:14] F2_1.41A {'ccsd_converged': True, 'T1': 0.0095, 'D1': 0.0287, 'reference': 'SCI cutoff 0.001', 'KL_bits': 1.2682, 'spearman_topK': 0.3604, 'w_HF': 0.8922, 'H_w_bits': 1.2854, 'log2_sector': 38.6546, 'support': 3319684, 'NOON_active': 4, 'seconds': 4967.511}
[21:25:38] O3_C2v {'ccsd_converged': True, 'T1': 0.0336, 'D1': 0.0752, 'reference': 'FCI', 'KL_bits': 1.4929, 'spearman_topK': 0.6945, 'w_HF': 0.8085, 'H_w_bits': 1.6402, 'log2_sector': 19.7035, 'support': 853776, 'NOON_active': 7, 'seconds': 24.042}
[21:26:01] Be2_2.45A {'ccsd_converged': True, 'T1': 0.0274, 'D1': 0.0448, 'reference': 'FCI', 'KL_bits': 1.7217, 'spearman_topK': 0.3344, 'w_HF': 0.7883, 'H_w_bits': 1.974, 'log2_sector': 16.6886, 'support': 105625, 'NOON_active': 7, 'seconds': 23.0499}
[21:26:03] H6ring_1.0A {'ccsd_converged': True, 'T1': 0.0, 'D1': 0.0, 'reference': 'FCI', 'KL_bits': 0.7696, 'spearman_topK': 0.2925, 'w_HF': 0.9408, 'H_w_bits': 0.5575, 'log2_sector': 8.6439, 'support': 400, 'NOON_active': 4, 'seconds': 2.6316}
[21:26:07] H6ring_2.0A {'ccsd_converged': True, 'T1': 0.0, 'D1': 0.0, 'reference': 'FCI', 'KL_bits': 2.9708, 'spearman_topK': 0.1115, 'w_HF': 0.3011, 'H_w_bits': 4.3516, 'log2_sector': 8.6439, 'support': 400, 'NOON_active': 6, 'seconds': 3.8697}
[21:26:12] H8chain_1.0A {'ccsd_converged': True, 'T1': 0.0057, 'D1': 0.0126, 'reference': 'FCI', 'KL_bits': 1.2278, 'spearman_topK': 0.3061, 'w_HF': 0.8684, 'H_w_bits': 1.2337, 'log2_sector': 12.2586, 'support': 4900, 'NOON_active': 7, 'seconds': 4.2878}
[21:26:18] H8chain_2.0A {'ccsd_converged': True, 'T1': 0.0737, 'D1': 0.1521, 'reference': 'FCI', 'KL_bits': 3.4006, 'spearman_topK': 0.1105, 'w_HF': 0.2095, 'H_w_bits': 7.0633, 'log2_sector': 12.2586, 'support': 4900, 'NOON_active': 8, 'seconds': 6.6065}
[21:26:18] Hubbard8_U1 {'reference': 'FCI (site basis)', 'KL_bits': 1.8872, 'spearman_topK': 0.0047, 'w_HF': 0.0, 'H_w_bits': 10.3713, 'log2_sector': 12.2586, 'support': 4900, 'NOON_active': 2, 'T1': None, 'D1': None, 'ccsd_converged': None, 'seconds': 0.2177}
[21:26:19] Hubbard8_U4 {'reference': 'FCI (site basis)', 'KL_bits': 3.8098, 'spearman_topK': 0.0063, 'w_HF': 0.0, 'H_w_bits': 8.4488, 'log2_sector': 12.2586, 'support': 4900, 'NOON_active': 8, 'T1': None, 'D1': None, 'ccsd_converged': None, 'seconds': 0.2424}
[21:26:19] Hubbard8_U8 {'reference': 'FCI (site basis)', 'KL_bits': 5.6716, 'spearman_topK': 0.0043, 'w_HF': 0.0, 'H_w_bits': 6.587, 'log2_sector': 12.2586, 'support': 4900, 'NOON_active': 8, 'T1': None, 'D1': None, 'ccsd_converged': None, 'seconds': 0.1781}
| case | active space | reference | KL(w‖q) bits | Spearman | w_HF | H(w) bits | log2 sector | NOON | T1 | D1 | CCSD conv |
|---|---|---|---|---|---|---|---|---|---|---|---|
| N2_1.0A | (10e,26o) | SCI cutoff 0.001 | 1.13 | 0.506 | 0.905 | 1.32 | 32.0 | 6 | 0.009 | 0.019 | True |
| N2_2.0A | (10e,26o) | SCI cutoff 0.001 | 3.52 | 0.475 | 0.340 | 4.75 | 32.0 | 8 | 0.038 | 0.075 | True |
| N2_2.5A | (10e,26o) | SCI cutoff 0.001 | 4.28 | 0.406 | 0.120 | 5.48 | 32.0 | 8 | 0.037 | 0.089 | False |
| C2_1.2425A | (8e,26o) | SCI cutoff 0.001 | 2.07 | 0.311 | 0.000 | 2.87 | 27.7 | 7 | 0.038 | 0.085 | True |
| F2_1.41A | (14e,26o) | SCI cutoff 0.001 | 1.27 | 0.360 | 0.892 | 1.29 | 38.7 | 4 | 0.010 | 0.029 | True |
| O3_C2v | (12e,12o) | FCI | 1.49 | 0.694 | 0.808 | 1.64 | 19.7 | 7 | 0.034 | 0.075 | True |
| Be2_2.45A | (4e,26o) | FCI | 1.72 | 0.334 | 0.788 | 1.97 | 16.7 | 7 | 0.027 | 0.045 | True |
| H6ring_1.0A | (6e,6o) | FCI | 0.77 | 0.292 | 0.941 | 0.56 | 8.6 | 4 | 0.000 | 0.000 | True |
| H6ring_2.0A | (6e,6o) | FCI | 2.97 | 0.111 | 0.301 | 4.35 | 8.6 | 6 | 0.000 | 0.000 | True |
| H8chain_1.0A | (8e,8o) | FCI | 1.23 | 0.306 | 0.868 | 1.23 | 12.3 | 7 | 0.006 | 0.013 | True |
| H8chain_2.0A | (8e,8o) | FCI | 3.40 | 0.111 | 0.209 | 7.06 | 12.3 | 8 | 0.074 | 0.152 | True |
| Hubbard8_U1 | (8e,8o) | FCI (site basis) | 1.89 | 0.005 | 0.000 | 10.37 | 12.3 | 2 | — | — | None |
| Hubbard8_U4 | (8e,8o) | FCI (site basis) | 3.81 | 0.006 | 0.000 | 8.45 | 12.3 | 8 | — | — | None |
| Hubbard8_U8 | (8e,8o) | FCI (site basis) | 5.67 | 0.004 | 0.000 | 6.59 | 12.3 | 8 | — | — | None |
